Using linkage method for clustering
Using RMSD cutoff 0.1 nm
The RMSD ranges from 0.192719 to 0.727613 nm
Average RMSD is 0.497561
Number of structures for matrix 101
Energy of the matrix is 6.18075.

Found 101 clusters


cl. | #st  rmsd | middle rmsd | cluster members
  1 |   1       |      0      |      0
  2 |   1       |    100      |    100
  3 |   1       |    200      |    200
  4 |   1       |    300      |    300
  5 |   1       |    400      |    400
  6 |   1       |    500      |    500
  7 |   1       |    600      |    600
  8 |   1       |    700      |    700
  9 |   1       |    800      |    800
 10 |   1       |    900      |    900
 11 |   1       |   1000      |   1000
 12 |   1       |   1100      |   1100
 13 |   1       |   1200      |   1200
 14 |   1       |   1300      |   1300
 15 |   1       |   1400      |   1400
 16 |   1       |   1500      |   1500
 17 |   1       |   1600      |   1600
 18 |   1       |   1700      |   1700
 19 |   1       |   1800      |   1800
 20 |   1       |   1900      |   1900
 21 |   1       |   2000      |   2000
 22 |   1       |   2100      |   2100
 23 |   1       |   2200      |   2200
 24 |   1       |   2300      |   2300
 25 |   1       |   2400      |   2400
 26 |   1       |   2500      |   2500
 27 |   1       |   2600      |   2600
 28 |   1       |   2700      |   2700
 29 |   1       |   2800      |   2800
 30 |   1       |   2900      |   2900
 31 |   1       |   3000      |   3000
 32 |   1       |   3100      |   3100
 33 |   1       |   3200      |   3200
 34 |   1       |   3300      |   3300
 35 |   1       |   3400      |   3400
 36 |   1       |   3500      |   3500
 37 |   1       |   3600      |   3600
 38 |   1       |   3700      |   3700
 39 |   1       |   3800      |   3800
 40 |   1       |   3900      |   3900
 41 |   1       |   4000      |   4000
 42 |   1       |   4100      |   4100
 43 |   1       |   4200      |   4200
 44 |   1       |   4300      |   4300
 45 |   1       |   4400      |   4400
 46 |   1       |   4500      |   4500
 47 |   1       |   4600      |   4600
 48 |   1       |   4700      |   4700
 49 |   1       |   4800      |   4800
 50 |   1       |   4900      |   4900
 51 |   1       |   5000      |   5000
 52 |   1       |   5100      |   5100
 53 |   1       |   5200      |   5200
 54 |   1       |   5300      |   5300
 55 |   1       |   5400      |   5400
 56 |   1       |   5500      |   5500
 57 |   1       |   5600      |   5600
 58 |   1       |   5700      |   5700
 59 |   1       |   5800      |   5800
 60 |   1       |   5900      |   5900
 61 |   1       |   6000      |   6000
 62 |   1       |   6100      |   6100
 63 |   1       |   6200      |   6200
 64 |   1       |   6300      |   6300
 65 |   1       |   6400      |   6400
 66 |   1       |   6500      |   6500
 67 |   1       |   6600      |   6600
 68 |   1       |   6700      |   6700
 69 |   1       |   6800      |   6800
 70 |   1       |   6900      |   6900
 71 |   1       |   7000      |   7000
 72 |   1       |   7100      |   7100
 73 |   1       |   7200      |   7200
 74 |   1       |   7300      |   7300
 75 |   1       |   7400      |   7400
 76 |   1       |   7500      |   7500
 77 |   1       |   7600      |   7600
 78 |   1       |   7700      |   7700
 79 |   1       |   7800      |   7800
 80 |   1       |   7900      |   7900
 81 |   1       |   8000      |   8000
 82 |   1       |   8100      |   8100
 83 |   1       |   8200      |   8200
 84 |   1       |   8300      |   8300
 85 |   1       |   8400      |   8400
 86 |   1       |   8500      |   8500
 87 |   1       |   8600      |   8600
 88 |   1       |   8700      |   8700
 89 |   1       |   8800      |   8800
 90 |   1       |   8900      |   8900
 91 |   1       |   9000      |   9000
 92 |   1       |   9100      |   9100
 93 |   1       |   9200      |   9200
 94 |   1       |   9300      |   9300
 95 |   1       |   9400      |   9400
 96 |   1       |   9500      |   9500
 97 |   1       |   9600      |   9600
 98 |   1       |   9700      |   9700
 99 |   1       |   9800      |   9800
100 |   1       |   9900      |   9900
101 |   1       |  10000      |  10000
